"Date","Province","Node","Total_Cases","Total_Deaths","Total_Hosp","Total_Recovered","Day"
2021-01-01,"Maputo Cidade","k1",9956,88,430,8836,0
2021-01-01,"Gaza","k2",3028,27,131,2687,0
2021-01-01,"Inhambane","k3",433,4,19,384,0
2021-01-01,"Sofala","k4",1194,11,52,1060,0
2021-01-01,"Manica","k5",803,7,35,713,0
2021-01-01,"Zambezia","k6",330,3,14,293,0
2021-02-03,"Maputo Cidade","k1",19514,195,1438,12003,33
2021-02-03,"Gaza","k2",6514,65,23,4007,33
2021-02-03,"Inhambane","k3",2142,21,21,1318,33
2021-02-03,"Sofala","k4",1476,15,63,908,33
2021-02-03,"Manica","k5",2189,22,41,1346,33
2021-02-03,"Zambezia","k6",1494,15,38,919,33
2021-03-06,"Maputo Cidade","k1",26129,288,2131,19469,64
2021-03-06,"Gaza","k2",9361,103,32,6975,64
2021-03-06,"Inhambane","k3",3770,42,36,2809,64
2021-03-06,"Sofala","k4",3188,35,102,2375,64
2021-03-06,"Manica","k5",3505,39,46,2612,64
2021-03-06,"Zambezia","k6",2045,23,72,1524,64
